27860	许亦
23767	商会
19906	魔法
14953	新飞商会
12451	魔力
12177	这个
9622	王国
9372	了一
8940	一个
8795	什么
8761	我们
8141	会长
8084	现在
7736	魔法师
7606	没有
6836	他们
6571	已经
5868	自己
5777	的魔
5720	机械
5710	帝国
5518	就是
5319	这些
5197	但是
5186	因为
4904	你们
4850	如果
4788	不是
4734	可以
4689	能够
4642	怎么
4556	的话
4368	这么
4364	大陆
4042	起来
4005	商会的
3886	兰帕里王国
3838	来的
3820	这样
3768	只是
3766	所以
3731	邦塔城
3674	问题
3670	魔法机械
3661	在这
3630	研究
3619	是一
3585	时候
3467	时间
3456	上的
3446	甚至
3381	那么
3368	的魔法
3365	魔力机
3337	事情
3332	大魔法师
3297	可是
3287	知道
3258	坎德拉帝国
3234	所有
3187	这里
3175	不过
3165	大人
3159	一下
3146	金币
3136	当然
3120	出来
3102	到了
3096	可能
3095	之前
2934	并不
2904	虽然
2901	也不
2892	还是
2885	进行
2862	斯蒂尔
2860	伯爵
2798	一些
2753	许会长
2752	瑟维尼
2737	国的
2718	看到
2714	有些
2647	这一
2641	觉得
2639	的人
2622	需要
2609	的一
2602	一眼
2598	公国
2581	就算
2571	点头
2546	大的
2545	新飞商会的
2511	方面
2489	不会
2455	的时候
2439	完全
2428	根本
2403	应该
2359	出一
2329	对于
2321	国内
2287	很多
2264	下来
2237	那些
2236	任何
2233	看着
2233	精灵
2224	的魔力
2218	问道
2198	赛恩斯大陆
2181	出了
2168	工作
2167	人们
2145	大陆上
2134	是这
2129	其它
2127	到这
2127	这种
2101	都是
2101	们的
2091	护卫
2074	魔导师
2067	其实
2055	人的
2042	非常
2016	技术
2011	国家
2002	人类
2001	摇头
1997	不住
1989	直接
1987	发现
1985	居然
1981	生产
1974	合作
1968	东西
1961	点儿
1960	一直
1941	许亦的
1932	用魔法机械
1918	一次
1901	这次
1896	心中
1888	是我
1878	整个
1868	的那
1838	看了
1829	一声
1828	一点
1816	中的
1815	们新飞商会
1807	获得
1789	是在
1765	算是
1759	依然
1751	的事情
1749	是不
1744	第一
1742	了这
1739	样的
1730	立即
1685	来说
1679	真的
1664	魔力机械
1656	出现
1654	阿卡丽
1654	长老
1654	过来
1651	面的
1647	不能
1646	陛下
1624	他的
1623	然后
1600	一样
1590	卡米拉
1587	一定
1585	脸上
1574	为了
1572	自己的
1572	想要
1568	个月
1537	超过
1524	忽然
1520	的大
1518	然而
1515	十分
1512	有一
1511	鲁尔逊王国
1510	还有
1501	为什么
1496	了一下
1495	公路
1485	精灵族
1484	王国内
1483	有什么
1481	斯坦丁公国
1471	的工
1470	王国的
1461	贵族
1458	万金币
1457	会长大人
1457	也是
1456	微微
1453	一笑
1450	的这
1450	工厂
1443	重要
1433	想到
1424	不到
1417	而且
1404	更加
1398	里的
1394	希望
1392	这是
1386	拥有
1380	以及
1378	地方
1377	要的
1371	发展
1363	忍不住
1359	只能
1359	城主
1358	所有人
1356	让他
1348	莱斯利
1347	开始
1342	情况
1333	一丝
1332	同样
1331	内的
1329	一名
1327	一起
1317	的商
1315	军用魔法机
1310	恩斯大陆上
1306	是因为
1298	然是
1287	同时
1287	个人
1286	刚才
1284	魔法工业
1283	魔力风扇
1280	我的
1279	自然
1271	国王
1271	要求
1266	萨克王国
1265	不可能
1263	通过
1255	一会儿
1254	提出
1252	我们商会
1251	恐怕
1248	艾薇塔
1247	出的
1246	人都
1242	子爵
1237	露出
1233	也没
1231	代表
1231	肯定
1228	明白
1227	另外
1220	会在
1218	你的
1217	按照
1217	清楚
1213	几乎
1206	的地
1204	普通
1198	是一个
1195	工人
1193	城的
1186	许亦一
1182	魔法阵
1182	有的
1176	至于
1164	家伙
1164	研发
1160	的意
1160	之外
1158	个魔
1157	进入
1154	众人
1152	下的
1147	生活
1145	并没有
1144	两人
1138	既然
1137	玛洛帝国
1135	了一个
1131	只有
1129	目光
1129	魔力机车
1121	继续
1120	笑道
1119	是他
1116	过去
1113	只要
1110	意思
1108	不知道
1106	影响
1105	强大
1104	和新飞商会
1103	想了
1097	一般
1096	听到
1095	那个
1089	口气
1086	目前
1085	愿意
1079	城市
1077	准备
1076	亚长老
1074	肯纳德
1073	各种
1072	个小
1072	支持
1071	的魔法师
1069	关系
1066	说的
1066	卡米拉大魔
1064	米拉大魔法
1064	拉大魔法师
1063	机械的
1062	看向
1062	除了
1059	其他
1059	来到
1059	向许亦
1058	其中
1055	突然
1051	告诉
1050	亚妮丝
1048	无论
1047	出来的
1046	好了
1046	然不
1045	就不
1040	两个
1039	城内
1038	的各
1037	殿下
1035	地看
1033	想法
1032	族的
1029	那就
1026	的确
1023	笑了
1017	了许亦
1016	倒是
1016	并且
1013	离开
1013	轻轻
1012	面前
1008	手中
1007	公里
1007	一脸
1002	部族
1001	家用魔
1001	来了
1000	以前
995	王陛下
992	不仅
991	笑容
991	决定
991	办法
988	距离
984	打算
982	都不
982	不要
981	也就
980	对这
980	几个
979	成为
979	部分
978	了一眼
978	是你
978	尔城
975	就会
973	难道
971	相比
971	好的
971	以后
969	克鲁斯会长
969	却是
964	顿时
959	使得
959	到的
957	不同
953	侯爵
953	表示
952	是什么
952	之后
951	考虑
951	公爵
951	农田
946	一口
945	实在
944	足足
944	二十
943	摇了摇头
941	矮人
940	的生
936	看了一
936	神情
934	还不
932	么多
929	你们新飞商
928	在这里
928	之间
928	这样的
928	的新
924	重要的
924	的是
918	再次
918	真正
918	表情
917	了他
916	的情
915	魔力飞艇
913	领地
910	魔法师们
907	魔力轿车
904	在一
902	魔法师工会
901	全部
896	选择
894	前的
894	空间
893	我想
892	舰队
890	受到
889	男爵
889	是新飞商会
887	而是
886	早就
886	会有
880	我们新飞商
877	解决
876	的时间
873	家商会
873	着许亦
870	周围
870	点点头
868	定会
867	你这
866	到许亦
866	间的
866	成了
865	的目
860	过了
860	过一
858	斯塔克
856	最终
856	身上
856	十万
855	马车
853	海因策
850	这两
850	到底
844	绝对
842	这片
842	今天
840	到一
840	就已经
840	相信
839	这一点
838	实力
837	头看
836	是许亦
835	的商会
835	于是
832	方面的
831	发出
830	到这里
829	的小
829	简单
828	仅仅
827	变得
827	大量
826	都没
824	这才
824	过这
821	下去
820	多的
820	萨摩伯爵
820	片刻
817	一百
816	无数
813	这件事
807	担心
807	外的
805	得多
804	出这
803	让我
802	不好
802	帝国的
800	是有
797	的军
793	新飞商会护
793	弗莱娅
793	飞商会护卫
792	把这
791	看看
789	地道
788	现在的
788	必须
788	并不是
786	基地
786	行了
785	如此
785	完成
784	别的
784	极为
784	有这
782	而已
779	让人
779	消息
775	着一
775	相关
772	奇怪
772	样子
770	足够
769	年的
769	无法
765	来看
765	重新
761	声音
761	不少
761	不用
758	魔力空
757	有可能
757	多少
753	主要
753	的问题
749	带来
749	莱斯利子爵
746	许亦笑
744	出去
742	实际上
742	威纶
740	们这
739	似乎
739	大陆上的
738	联合
738	原本
737	帮助
736	特别
736	极其
736	帕里王国内
735	还要
734	就能
732	一家
732	特鲁
730	瞬间
729	商会在
727	提升
726	邦塔城的
725	眉头
722	会和
721	了过
719	得这
718	在他
718	的东西
715	在许亦
715	我不
712	经过
712	个魔法
711	正在
711	计划
711	段时间
711	私人
711	巨大
710	了不
710	许亦微
708	去了
708	更是
705	能力
704	关于
704	起了
703	这个魔
701	因为这
700	有了
699	是我们
699	级魔法师
698	攻击
697	阿姆利商会
697	商业
694	这一次
693	的家
693	这个问题
692	还没
692	多了
691	使用
691	看起来
691	回来
690	掌握
